# 1D ASCII output created by CarpetIOASCII
# created on ee by leo on Mar 09 2022 at 23:05:45-0800
# parameter filename: "ConstantDensitySphere.par"
#
# NRPYLEAKAGEET::NRPYLEAKAGEET_OPTICAL_DEPTHS x (nrpyleakageet-nrpyleakageet_optical_depths)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:tau_0_nue 14:tau_0_anue 15:tau_0_nux 16:tau_1_nue 17:tau_1_anue 18:tau_1_nux
0	0	0 0 0	0 336 336	0	-5.04 0 0	0 0 0 0 0 0
0	0	0 0 0	8 336 336	0	-4.92 0 0	0 0 0 0 0 0
0	0	0 0 0	16 336 336	0	-4.8 0 0	0 0 0 0 0 0
0	0	0 0 0	24 336 336	0	-4.68 0 0	4.5307556059252e-07 5.08367418992222e-07 1.55515651669165e-07 7.41741791066774e-07 7.92809057409164e-07 2.50142140943177e-07
0	0	0 0 0	32 336 336	0	-4.56 0 0	9.0615112118504e-07 1.01673483798444e-06 3.11031303338329e-07 1.48348358213355e-06 1.58561811481833e-06 5.00284281886353e-07
0	0	0 0 0	40 336 336	0	-4.44 0 0	1.35922668177756e-06 1.52510225697667e-06 4.66546955007494e-07 2.22522537320032e-06 2.37842717222749e-06 7.5042642282953e-07
0	0	0 0 0	48 336 336	0	-4.32 0 0	1.81230224237008e-06 2.03346967596889e-06 6.22062606676658e-07 2.96696716426709e-06 3.17123622963666e-06 1.00056856377271e-06
0	0	0 0 0	56 336 336	0	-4.2 0 0	2.2653778029626e-06 2.54183709496111e-06 7.77578258345822e-07 3.70870895533387e-06 3.96404528704582e-06 1.25071070471588e-06
0	0	0 0 0	64 336 336	0	-4.08 0 0	2.71845336355512e-06 3.05020451395333e-06 9.33093910014987e-07 4.45045074640064e-06 4.75685434445499e-06 1.50085284565906e-06
0	0	0 0 0	72 336 336	0	-3.96 0 0	3.17152892414764e-06 3.55857193294556e-06 1.08860956168415e-06 5.19219253746742e-06 5.54966340186415e-06 1.75099498660224e-06
